title,author,length
The Primal Hunter 9: A LitRPG Adventure,Zogarth,Length: 20 hrs and 23 mins
Indaria,SunriseCV,Length: 13 hrs and 57 mins
Alpha,Aleron Kong,Length: 13 hrs and 26 mins
Ascension,Kerberos,Length: 9 hrs and 37 mins
Dire Straits and Entwined Fates,Alice Winters,Length: 10 hrs and 29 mins
SLAY (The Man in Grey Book 1),"Scott Sigler,Rob Otto",Length: 13 hrs and 27 mins
Over the Limit,K. Bromberg,Length: 8 hrs and 1 min
Red Tithe,Robbie MacNiven,Length: 9 hrs and 48 mins
So This Is War,Meghan Quinn,Length: 13 hrs and 44 mins
The Great Awakening,"Mike Dooley,Darryl Anka,Matt Kahn,Sara Landon,Salvatore Rachele,Lyssa Royal Holt,Daniel Scranton",Length: 9 hrs and 56 mins
Caledonian Road,Andrew O'Hagan,Length: 22 hrs and 51 mins
Skullduggery,Helen Harper,Length: 7 hrs and 40 mins
City of the Damned,David Guymer,Length: 12 hrs and 56 mins
Mean Ghosts,Danielle Garrett,Length: 5 hrs and 47 mins
Throne World,B.V. Larson,Length: 12 hrs and 29 mins
Sylver Seeker 4,Kennit Kenway,Length: 20 hrs and 50 mins
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Length: 24 hrs and 35 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 36 mins
The Lady's Last Mistake,Cara Devlin,Length: 11 hrs and 48 mins
title,author,length
The Primal Hunter 9: A LitRPG Adventure,Zogarth,Length: 20 hrs and 23 mins
Indaria,SunriseCV,Length: 13 hrs and 57 mins
Alpha,Aleron Kong,Length: 13 hrs and 26 mins
Ascension,Kerberos,Length: 9 hrs and 37 mins
Dire Straits and Entwined Fates,Alice Winters,Length: 10 hrs and 29 mins
SLAY (The Man in Grey Book 1),"Scott Sigler,Rob Otto",Length: 13 hrs and 27 mins
Over the Limit,K. Bromberg,Length: 8 hrs and 1 min
Red Tithe,Robbie MacNiven,Length: 9 hrs and 48 mins
So This Is War,Meghan Quinn,Length: 13 hrs and 44 mins
The Great Awakening,"Mike Dooley,Darryl Anka,Matt Kahn,Sara Landon,Salvatore Rachele,Lyssa Royal Holt,Daniel Scranton",Length: 9 hrs and 56 mins
Caledonian Road,Andrew O'Hagan,Length: 22 hrs and 51 mins
Skullduggery,Helen Harper,Length: 7 hrs and 40 mins
City of the Damned,David Guymer,Length: 12 hrs and 56 mins
Mean Ghosts,Danielle Garrett,Length: 5 hrs and 47 mins
Throne World,B.V. Larson,Length: 12 hrs and 29 mins
Sylver Seeker 4,Kennit Kenway,Length: 20 hrs and 50 mins
Defiance of the Fall 13,"TheFirstDefier,JF Brink",Length: 24 hrs and 35 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 36 mins
The Lady's Last Mistake,Cara Devlin,Length: 11 hrs and 48 mins
title,author,length
The Primal Hunter 9: A LitRPG Adventure,Zogarth,Length: 20 hrs and 23 mins
Indaria,SunriseCV,Length: 13 hrs and 57 mins
Alpha,Aleron Kong,Length: 13 hrs and 26 mins
Ascension,Kerberos,Length: 9 hrs and 37 mins
Dire Straits and Entwined Fates,Alice Winters,Length: 10 hrs and 29 mins
SLAY (The Man in Grey Book 1),"Scott Sigler,Rob Otto",Length: 13 hrs and 27 mins
Over the Limit,K. Bromberg,Length: 8 hrs and 1 min
Red Tithe,Robbie MacNiven,Length: 9 hrs and 48 mins
So This Is War,Meghan Quinn,Length: 13 hrs and 44 mins
