title,plot,transcript,url
Swamp Thing (1982) - full transcript,"After a violent incident with a special chemical, a research scientist is turned into a swamp plant monster.",,https://subslikescript.com/movie/Swamp_Thing-84745
Mirrors (2008) - full transcript,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,,https://subslikescript.com/movie/Mirrors-790686
The Phantom Empire (1987) - full transcript,"When a man-eating cave creature appears with a fortune in uncut diamonds around his neck, Dr Chambers' daughter Denae hires adventurers C and C Salvage to find the underground source of the gems.",,https://subslikescript.com/movie/The_Phantom_Empire-91752
Day for Night (1973) - full transcript,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.",,https://subslikescript.com/movie/Day_for_Night-70460
Rain (1932) - full transcript,A prostitute newly arrived in the South Pacific finds herself at odds with a stern missionary determined to save her soul.,,https://subslikescript.com/movie/Rain-23369
The Worst Thing (2019) - full transcript,"In 1985, Kathleen lost her brother Eddie, an American soldier, at the hands of the Red Army Faction (RAF), a German leftist terrorist organization. Now, decades later, she decides to seek out the group responsible for his murder.",,https://subslikescript.com/movie/The_Worst_Thing-11137266
Hungama 2 (2021) - full transcript,A sequel of the 2003 film Hungama.,,https://subslikescript.com/movie/Hungama_2-8983220
Hotel Fear (1978) - full transcript,"A mother and her daughter run a hotel during the late stages of WWII. The mother suddenly dies, and the daughter finds herself alone with her sleazy guests.",,https://subslikescript.com/movie/Hotel_Fear-76884
Felicia's Journey (1999) - full transcript,"A young woman leaves Ireland to find her boyfriend in England, and while there is helped by a man hiding unsettling secrets.",,https://subslikescript.com/movie/Felicias_Journey-165773
Fools Rush In (1997) - full transcript,"After a one-night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",,https://subslikescript.com/movie/Fools_Rush_In-119141
Pinocchio (1940) - full transcript,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",,https://subslikescript.com/movie/Pinocchio-32910
The Ghost Within (2023) - full transcript,"A young woman revisits her family home desperate to discover her sister Evie's murderer 20 years before. After a series of terrifying encounters with Evie's ghost at 09:09pm, Margot knows she must fight to learn the truth once and for all.",,https://subslikescript.com/movie/The_Ghost_Within-19895130
Metro (2013) - full transcript,Terror strikes the underground train system in Moscow in the form of a flood from a collapsed tunnel.,,https://subslikescript.com/movie/Metro-2649128
Tokyo Ghoul (2017) - full transcript,"A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.",,https://subslikescript.com/movie/Tokyo_Ghoul-5815944
Untamed Mistress (1956) - full transcript,"Two men search the jungle for a woman who has been captured by a tribe of murderous gorillas. When they finally find her, they must fight off attacks by the gorillas, who are determined to keep her.",,https://subslikescript.com/movie/Untamed_Mistress-46482
Love & Friendship (2016) - full transcript,"Lady Susan Vernon takes up temporary residence at her in-laws' estate and, while there, is determined to be a matchmaker for her daughter Frederica--and herself too, naturally.",,https://subslikescript.com/movie/Love__Friendship-3068194
Yeh Dillagi (1994) - full transcript,A poor girl is rebuked by a rich boy. She leaves town to return successful and rich. He falls for her but his brother is already in love with the girl.,,https://subslikescript.com/movie/Yeh_Dillagi-111793
Red (2008) - full transcript,A reclusive man sets out for justice and redemption when three troublesome teens kill his dog for no good reason.,,https://subslikescript.com/movie/Red-972883
Titanic (1997) - full transcript,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",,https://subslikescript.com/movie/Titanic-120338
The Daytrippers (1996) - full transcript,"When she discovers a love letter written to her husband by an unknown paramour, the distraught Eliza turns to her tight-knit Long Island family for advice.",,https://subslikescript.com/movie/The_Daytrippers-116041
Rollerball (1975) - full transcript,"In a corporate-controlled future, an ultra-violent sport known as Rollerball represents the world, and one of its powerful athletes is out to defy those who want him out of the game.",,https://subslikescript.com/movie/Rollerball-73631
Mon Oncle (1958) - full transcript,"Monsieur Hulot visits the technology-driven world of his sister, brother-in-law, and nephew, but he can't quite fit into the surroundings.",,https://subslikescript.com/movie/Mon_Oncle-50706
Dancing with Crime (1947) - full transcript,A London cab driver gets mixed up with a criminal gang and sets out to expose the group and its leader for what they are.,,https://subslikescript.com/movie/Dancing_with_Crime-39297
The Rutles - All You Need Is Cash (1978) - full transcript,"Charts the adventures of the prefab four, possibly the most famous band of all time.",,https://subslikescript.com/movie/The_Rutles_-_All_You_Need_Is_Cash-77147
Age of Uprising: The Legend of Michael Kohlhaas (2013) - full transcript,"In the 16th century in the Cévennes, a horse dealer by the name of Michael Kohlhaas leads a happy family life. When a lord treats him unjustly, he raises an army and puts the country to fire and sword in order to have his rights restored.",,https://subslikescript.com/movie/Age_of_Uprising_The_Legend_of_Michael_Kohlhaas-2054790
The Boy with the Golden Pants (2014) - full transcript,"When Mats stumbles upon a pair of pants containing an unlimited amount of money, everything changes. Now he can buy everything he ever wanted, not knowing that powerful forces are tracking him down.",,https://subslikescript.com/movie/The_Boy_with_the_Golden_Pants-3126460
The Grudge 2 (2006) - full transcript,Three interwoven stories about a terrible curse. A young woman encounters a malevolent supernatural force while searching for her missing sister in Tokyo; a mean high school prank goes horribly wrong; a woman with a deadly secret moves into a Chicago apartment building.,,https://subslikescript.com/movie/The_Grudge_2-433386
